EPIC,Campaign,Teff,log g,Prot,ΔProt,hpeak,Rvar,Kp,MG,N_EVEREST,N_TESS_SPOC,Period_TESS,Amplitude_TESS,Period_K2,Amplitude_K2,Sector
211481191,5,4165,4.83,2.59,0.24,0.57,6.32,16.9,8.26,2.0,0.0,0.0,0.0,124.7020938662657,0.1253825262905206,
211483344,5,4089,4.81,1.97,0.22,0.51,1.74,16.16,10.53,1.0,0.0,0.0,0.0,124.70189124054741,0.07637141585809704,
211485129,5,4141,4.79,4.08,0.29,0.6,6.88,13.95,,1.0,0.0,0.0,0.0,4.1567362758731985,0.08209470428792309,
211528617,5,4030,4.82,7.85,0.46,0.81,4.9,15.15,9.6,1.0,0.0,0.0,0.0,93.52657218798413,0.082346716551019,
211553090,5,4240,4.75,3.54,0.27,0.56,5.98,12.52,6.97,1.0,0.0,0.0,0.0,3.4963197803786286,0.07410459702232974,
211561164,5,4082,4.83,8.69,0.51,0.82,3.59,14.26,7.52,1.0,0.0,0.0,0.0,124.7021372121526,0.05340745660502211,
211568445,5,4334,4.72,7.74,0.45,0.74,4.23,13.41,7.07,1.0,0.0,0.0,0.0,7.634813094105362,0.054837113219005085,
211583647,5,4142,4.78,7.86,0.46,0.93,4.07,15.26,8.04,1.0,0.0,0.0,0.0,7.959691399567205,0.05034462225537284,
211589755,5,4058,4.8,4.7,0.31,0.96,5.38,10.68,,3.0,0.0,0.0,0.0,4.676328028428543,0.054176778707083706,
211623113,5,4066,4.83,1.95,0.22,0.38,6.98,16.62,,1.0,0.0,0.0,0.0,93.52637693533323,0.10729343190359175,
211630438,5,4480,4.68,9.45,0.56,0.84,4.9,14.31,,2.0,0.0,0.0,0.0,9.59245641326281,0.06003108010219527,
211693579,5,4110,4.81,5.57,0.35,0.63,2.26,10.06,,1.0,0.0,0.0,0.0,93.52641192803276,0.026450812808590074,
211695325,5,4243,4.82,1.96,0.22,0.89,4.46,14.3,6.21,1.0,0.0,0.0,0.0,1.9586692811312956,0.05943759582093522,
211705582,5,4272,4.74,2.35,0.23,0.64,1.86,15.87,9.13,1.0,0.0,0.0,0.0,124.70180628763045,0.06278764324457231,
211729796,5,4106,4.8,6.03,0.37,0.81,6.35,14.51,5.36,1.0,0.0,0.0,0.0,6.033960125613732,0.08222817019752715,
211750258,5,4128,4.78,9.89,0.59,0.41,2.92,13.48,7.1,1.0,0.0,0.0,0.0,93.52639114353222,0.04011554528007499,
211767753,5,4132,4.78,4.31,0.3,0.88,4.94,15.97,6.31,1.0,0.0,0.0,0.0,124.70179221534634,0.07561127757095809,
211798179,5,4047,4.81,3.64,0.27,0.78,1.85,15.03,,1.0,0.0,0.0,0.0,93.5263417022361,0.033094616437292834,
211888829,5,4254,4.76,4.79,0.32,0.54,1.72,16.26,9.65,1.0,0.0,0.0,0.0,187.05267958022887,0.059540804763442146,
211890433,5,4003,4.83,3.3,0.26,0.74,4.64,14.11,7.88,2.0,0.0,0.0,0.0,3.310668888781014,0.06754679454040458,
211906834,5,4033,4.83,3.29,0.26,0.42,3.18,16.66,9.15,1.0,0.0,0.0,0.0,187.0526678438182,0.0488276482955452,
211915202,5,4079,4.8,5.62,0.35,0.33,0.65,14.91,,3.0,0.0,0.0,0.0,374.10558468138333,0.015099705706608457,
211926825,5,4066,4.8,5.62,0.35,0.51,1.55,15.69,8.11,1.0,0.0,0.0,0.0,374.10550725471694,0.01831453328205057,
211934219,5,4020,4.85,3.64,0.27,0.78,4.41,18.18,,2.0,0.0,0.0,0.0,374.1058652923675,0.0811683022923928,
211953263,5,4025,4.81,1.82,0.22,0.38,3.18,15.23,,2.0,2.0,1.7961972066415177,0.07091379165649403,124.7018442537713,0.05716645189947267,44.0
211961166,5,4286,4.74,2.77,0.25,0.75,3.22,13.84,5.61,1.0,0.0,0.0,0.0,2.7918377374437875,0.04166353970884806,
